career,field,recommended_major,related_majors,soc_code,bls_occupation,early_career_salary,median_salary,experienced_salary,average_salary,education,description,skills,companies,industries,colleges_notable,nyc_colleges,college_notes,source_year,benchmark_area,salary_area,data_type,salary_mapping_note,salary_source,source_url,job_outlook,career_level_note
Gene Expression Analyst,Life Sciences,Molecular Biology,Molecular Biology;Genetics / Genomics;Bioinformatics / Computational Biology;Biotechnology,19-1029,"Biological Scientists, All Other",66400,91100,119390,115450,Master's degree,"Analyzes how genes are turned on or off across tissues, treatments, or disease states using lab and computational methods.",Transcriptomics;Molecular Assays;R;Python;Statistics,Broad Institute partners;Illumina customers;biotech firms;academic cores,Genomics;Biotechnology;Pharmaceuticals;Research,Johns Hopkins University;UC San Francisco;Harvard University;University of Pennsylvania;Duke University,Columbia University;NYU;CUNY Hunter;Weill Cornell,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,"Closest BLS occupation is Biological Scientists, All Other (19-1029).","U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes191029.htm,Genomics-driven research needs analysts who can connect molecular assays with meaningful expression patterns.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Cell Biologist,Life Sciences,Molecular Biology,Molecular Biology;Biology;Biotechnology;Biomedical Science,19-1029,"Biological Scientists, All Other",66400,91100,119390,115450,Master's degree,"Studies cell structure and behavior to understand development, disease, and responses to experimental treatments.",Cell Culture;Microscopy;Assay Development;Data Analysis;Lab Research,academic medical centers;Amgen;Genentech;research institutes,Biotechnology;Pharmaceuticals;Academic Research;Medical Research,Johns Hopkins University;UC San Francisco;Harvard University;University of Pennsylvania;Duke University,Columbia University;NYU;CUNY Hunter;Weill Cornell,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,"Closest BLS occupation is Biological Scientists, All Other (19-1029).","U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes191029.htm,Drug discovery and basic research teams hire cell biologists to explain what happens inside living cells.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Molecular Diagnostics Scientist,Life Sciences,Molecular Biology,Molecular Biology;Biotechnology;Biomedical Science;Health Science,19-1021,Biochemists and Biophysicists,81650,107460,136080,107720,Master's degree,"Develops or validates molecular tests used to detect pathogens, genetic markers, or disease-related signals.",Molecular Diagnostics;Assay Validation;Lab Quality;PCR;Data Review,diagnostic companies;hospital labs;Thermo Fisher;Quest partners,Diagnostics;Biotechnology;Healthcare;Pharmaceuticals,Johns Hopkins University;UC San Francisco;Harvard University;University of Pennsylvania;Duke University,Columbia University;NYU;CUNY Hunter;Weill Cornell,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Closest BLS occupation is Biochemists and Biophysicists (19-1021) used as a verified molecular life-science wage benchmark.,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes191021.htm,Clinical and public-health labs need molecular diagnostics scientists as testing methods become more genetic and precise.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Biomedical Research Associate,Life Sciences,Biomedical Science,Biomedical Science;Biology;Medicine / Pre-Med;Biotechnology,19-1042,"Medical Scientists, Except Epidemiologists",76690,100890,133870,118190,Bachelor's degree,Supports laboratory and clinical research studies that investigate disease mechanisms and potential treatments.,Lab Techniques;Protocol Compliance;Data Entry;Scientific Communication;IRB Awareness,academic medical centers;pharma research sites;hospital research cores,Medical Research;Pharmaceuticals;Hospitals;Biotechnology,Johns Hopkins University;UC San Francisco;Harvard University;University of Pennsylvania;Duke University,Columbia University;NYU;CUNY Hunter;Weill Cornell,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,"Closest BLS occupation is Medical Scientists, Except Epidemiologists (19-1042).","U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes191042.htm,Medical research programs need associates who can execute protocols carefully and keep study data trustworthy.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Translational Research Scientist,Life Sciences,Biomedical Science,Biomedical Science;Biotechnology;Medicine / Health Science;Cancer Research,19-1042,"Medical Scientists, Except Epidemiologists",76690,100890,133870,118190,Master's degree,Connects laboratory discoveries with early clinical or diagnostic applications that may help patients.,Translational Research;Experimental Design;Biostatistics Basics;Scientific Writing;Collaboration,academic medical centers;Pfizer;Memorial Sloan Kettering partners;biotech firms,Medical Research;Biotechnology;Pharmaceuticals;Hospitals,Johns Hopkins University;UC San Francisco;Harvard University;University of Pennsylvania;Duke University,Columbia University;NYU;CUNY Hunter;Weill Cornell,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,"Closest BLS occupation is Medical Scientists, Except Epidemiologists (19-1042).","U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes191042.htm,Hospitals and biotech companies hire translational scientists to move promising findings closer to patient impact.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Clinical Laboratory Scientist,Life Sciences,Biomedical Science,Biomedical Science;Health Science;Medicine / Health Science;Biology,19-4021,Biological Technicians,42390,51430,65510,57960,Bachelor's degree,Performs and interprets laboratory tests on patient samples that help physicians diagnose and monitor disease.,Clinical Lab Methods;Quality Control;Sample Handling;Instrumentation;Documentation,hospital laboratories;Quest Diagnostics;Labcorp;public health labs,Hospitals;Diagnostics;Public Health;Healthcare,Johns Hopkins University;UC San Francisco;Harvard University;University of Pennsylvania;Duke University,Columbia University;NYU;CUNY Hunter;Weill Cornell,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Closest BLS occupation is Biological Technicians (19-4021) used as a verified laboratory wage benchmark for clinical lab science pathways.,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes194021.htm,Healthcare systems depend on clinical laboratory scientists to deliver accurate test results that guide care.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Biomedical Science Educator Support Specialist,Life Sciences,Biomedical Science,Biomedical Science;Health Science;Biology;STEM / General Science,19-4021,Biological Technicians,42390,51430,65510,57960,Bachelor's degree,"Supports biomedical teaching labs by preparing materials, maintaining equipment, and helping students learn techniques.",Lab Preparation;Teaching Support;Lab Safety;Inventory;Communication,universities;teaching hospitals;community college STEM programs,Higher Education;Healthcare Education;Life Sciences,Johns Hopkins University;UC San Francisco;Harvard University;University of Pennsylvania;Duke University,Columbia University;NYU;CUNY Hunter;Weill Cornell,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Closest BLS occupation is Biological Technicians (19-4021).,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes194021.htm,Growing biomedical programs need specialists who keep teaching laboratories ready and educationally effective.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Neuroscientist,Life Sciences,Neuroscience,Neuroscience;Biology;Psychology / Cognitive Science;Cognitive Science;Biomedical Science,19-1029,"Biological Scientists, All Other",66400,91100,119390,115450,Doctoral or professional degree,"Researches how the nervous system develops, processes information, and changes in health and disease.",Neuroscience Methods;Data Analysis;Experimental Design;Scientific Writing;Statistics,academic labs;NIH-funded centers;pharma neuroscience groups;research institutes,Academic Research;Pharmaceuticals;Biotechnology;Medical Research,Johns Hopkins University;UC San Francisco;Harvard University;University of Pennsylvania;Duke University,Columbia University;NYU;CUNY Hunter;Weill Cornell,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,"Closest BLS occupation is Biological Scientists, All Other (19-1029); neuroscience research roles are commonly mapped here.","U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes191029.htm,Universities and biomedical institutes continue to need neuroscientists to explain brain and nervous-system function.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Neural Data Analyst,Life Sciences,Neuroscience,Neuroscience;Data Science;Cognitive Science;Bioinformatics / Computational Biology,15-2051,Data Scientists,79810,108020,147670,141460,Bachelor's degree,Analyzes recordings and imaging data from brain and nervous-system experiments to extract interpretable patterns.,Python;Signal Analysis;Statistics;Neuroscience Basics;Data Visualization,academic neuroscience labs;brain-tech startups;research hospitals,Research;Biotechnology;Healthcare Analytics;Medical Devices,MIT;Stanford University;Carnegie Mellon University;University of Washington;Georgia Tech,Columbia University;NYU Tandon;Cornell Tech;CCNY,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Closest BLS occupation is Data Scientists (15-2051).,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes152051.htm,Neuroscience groups generating large datasets need analysts who can turn neural recordings into clear findings.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Behavioral Neuroscience Researcher,Life Sciences,Neuroscience,Neuroscience;Psychology / Cognitive Science;Biology;Cognitive Science,19-1029,"Biological Scientists, All Other",66400,91100,119390,115450,Master's degree,Links brain activity and experimental interventions with measurable changes in behavior and learning.,Behavioral Assays;Neuroscience;Statistics;Experimental Design;Animal or Human Subject Protocols,university labs;research institutes;pharma behavioral groups,Academic Research;Pharmaceuticals;Medical Research,Johns Hopkins University;UC San Francisco;Harvard University;University of Pennsylvania;Duke University,Columbia University;NYU;CUNY Hunter;Weill Cornell,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,"Closest BLS occupation is Biological Scientists, All Other (19-1029).","U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes191029.htm,Drug discovery and basic brain research still rely on behavioral neuroscience researchers to connect biology with behavior.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Neurotechnology Research Assistant,Life Sciences,Neuroscience,Neuroscience;Bioengineering;Biomedical Engineering;Computer Engineering,19-4021,Biological Technicians,42390,51430,65510,57960,Bachelor's degree,"Supports experiments involving brain-computer interfaces, neural sensors, or related neurotechnology prototypes.",Lab Support;Electronics Basics;Data Collection;Protocol Follow-through;Documentation,neurotech startups;academic BCI labs;medical device research groups,Medical Devices;Biotechnology;Research;Healthcare Technology,Johns Hopkins University;UC San Francisco;Harvard University;University of Pennsylvania;Duke University,Columbia University;NYU;CUNY Hunter;Weill Cornell,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Closest BLS occupation is Biological Technicians (19-4021).,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes194021.htm,Emerging neurotechnology projects need research assistants who can support careful experimental and device work.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Clinical Research Coordinator,Health,Medicine / Pre-Med,Medicine / Pre-Med;Medicine / Health Science;Biomedical Science;Public Health,19-1042,"Medical Scientists, Except Epidemiologists",76690,100890,133870,118190,Bachelor's degree,"Coordinates clinical study visits, consent processes, and data collection so medical research protocols stay compliant.",Clinical Research;Protocol Compliance;Patient Communication;Documentation;GCP Awareness,academic medical centers;hospital research units;CRO partners,Hospitals;Medical Research;Pharmaceuticals;Biotechnology,Johns Hopkins University;UC San Francisco;Harvard University;University of Pennsylvania;Duke University,Columbia University;NYU;CUNY Hunter;Weill Cornell,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,"Closest BLS occupation is Medical Scientists, Except Epidemiologists (19-1042); clinical research coordination is commonly benchmarked here.","U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes191042.htm,"Clinical trials need coordinators who can keep studies organized, ethical, and on schedule.","Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Medical Scribe Pathway Analyst,Health,Medicine / Pre-Med,Medicine / Pre-Med;Health Science;Medicine / Health Science;Information Systems,15-1211,Computer Systems Analysts,63230,103800,132580,110800,Bachelor's degree,Supports clinical documentation workflows and analyzes how medical information is captured in electronic systems.,Clinical Documentation;EHR Familiarity;Attention to Detail;Communication;Process Analysis,hospital systems;ambulatory clinics;health IT teams,Hospitals;Healthcare IT;Ambulatory Care,Johns Hopkins University;UC San Francisco;Harvard University;University of Pennsylvania;Duke University,Columbia University;NYU;CUNY Hunter;Weill Cornell,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Closest BLS occupation is Computer Systems Analysts (15-1211) for health-documentation workflow analysis roles.,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes151211.htm,Healthcare systems hire documentation-focused analysts as electronic records and clinical workflows grow more complex.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Preclinical Research Assistant,Health,Medicine / Pre-Med,Medicine / Pre-Med;Biomedical Science;Biotechnology;Biology,19-4021,Biological Technicians,42390,51430,65510,57960,Bachelor's degree,Assists laboratory studies that evaluate biological responses before potential therapies reach human trials.,Lab Techniques;Animal or Cell Study Support;Data Recording;Lab Safety;Protocol Adherence,pharma preclinical groups;academic labs;biotech startups,Pharmaceuticals;Biotechnology;Medical Research,Johns Hopkins University;UC San Francisco;Harvard University;University of Pennsylvania;Duke University,Columbia University;NYU;CUNY Hunter;Weill Cornell,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Closest BLS occupation is Biological Technicians (19-4021).,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes194021.htm,Drug development pipelines rely on preclinical research assistants to generate careful early biological evidence.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Health Equity Research Assistant,Health,Medicine / Pre-Med,Medicine / Pre-Med;Public Health;Health Science;Medicine / Health Science,19-1041,Epidemiologists,54950,81390,103980,90430,Bachelor's degree,Supports studies that examine how social and clinical factors shape unequal health outcomes across communities.,Data Collection;Literature Review;Community Research Ethics;Statistics Basics;Writing,public health schools;hospital population-health teams;nonprofit research groups,Public Health;Hospitals;Nonprofit;Government,Johns Hopkins University;UC San Francisco;Harvard University;University of Pennsylvania;Duke University,Columbia University;NYU;CUNY Hunter;Weill Cornell,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Closest BLS occupation is Epidemiologists (19-1041) used as a verified population-health research wage benchmark.,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes191041.htm,Health systems and public-health groups need research assistants focused on equity as disparities remain a core challenge.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Healthcare Quality Analyst,Health,Medicine / Health Science,Medicine / Health Science;Health Science;Public Health;Business Analytics,15-2031,Operations Research Analysts,66250,83640,115190,114910,Bachelor's degree,Analyzes clinical quality metrics and process data to help hospitals improve patient safety and care outcomes.,Quality Metrics;Data Analysis;Healthcare Operations;Communication;Process Improvement,hospital quality departments;health systems;consulting firms,Hospitals;Healthcare;Consulting;Government,Johns Hopkins University;UC San Francisco;Harvard University;University of Pennsylvania;Duke University,Columbia University;NYU;CUNY Hunter;Weill Cornell,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Closest BLS occupation is Operations Research Analysts (15-2031).,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes152031.htm,Health systems hire quality analysts to track outcomes and reduce preventable harm.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Clinical Informatics Analyst,Health,Medicine / Health Science,Medicine / Health Science;Health Science;Information Systems;Data Science,15-1211,Computer Systems Analysts,63230,103800,132580,110800,Bachelor's degree,Improves how clinical data moves through electronic health records and related hospital information systems.,EHR Workflows;Data Quality;Requirements Analysis;Healthcare Terminology;SQL Basics,Epic partners;hospital IT;health systems;consulting firms,Healthcare IT;Hospitals;Consulting;Health Tech,MIT;Stanford University;Carnegie Mellon University;University of Washington;Georgia Tech,Columbia University;NYU Tandon;Cornell Tech;CCNY,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Closest BLS occupation is Computer Systems Analysts (15-1211).,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes151211.htm,Hospitals depend on clinical informatics analysts to make electronic health systems usable and clinically useful.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Patient Outcomes Researcher,Health,Medicine / Health Science,Medicine / Health Science;Public Health;Biomedical Science;Statistics,19-1042,"Medical Scientists, Except Epidemiologists",76690,100890,133870,118190,Master's degree,"Studies how treatments, care pathways, and health services affect real patient results over time.",Outcomes Research;Biostatistics;Study Design;Scientific Writing;Data Analysis,academic medical centers;health systems;pharma outcomes teams,Hospitals;Pharmaceuticals;Public Health;Medical Research,Johns Hopkins University;UC San Francisco;Harvard University;University of Pennsylvania;Duke University,Columbia University;NYU;CUNY Hunter;Weill Cornell,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,"Closest BLS occupation is Medical Scientists, Except Epidemiologists (19-1042).","U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes191042.htm,Health systems and manufacturers need outcomes researchers to show whether care actually helps patients.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Care Pathway Analyst,Health,Medicine / Health Science,Medicine / Health Science;Health Science;Operations Management;Public Health,15-2031,Operations Research Analysts,66250,83640,115190,114910,Bachelor's degree,"Maps clinical care pathways and identifies delays, bottlenecks, or variation that affect patient experience.",Process Mapping;Healthcare Operations;Data Analysis;Stakeholder Interviews;Improvement Methods,hospital operations teams;health systems;consulting firms,Hospitals;Healthcare;Consulting,Johns Hopkins University;UC San Francisco;Harvard University;University of Pennsylvania;Duke University,Columbia University;NYU;CUNY Hunter;Weill Cornell,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Closest BLS occupation is Operations Research Analysts (15-2031).,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes152031.htm,Care delivery organizations hire pathway analysts to make complex treatment journeys more reliable for patients.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Epidemiologist,Health,Public Health,Public Health;Health Science;Medicine / Health Science;Statistics;Biology,19-1041,Epidemiologists,54950,81390,103980,90430,Master's degree,Investigates patterns of disease and injury in populations to guide prevention and public-health response.,Epidemiology;Biostatistics;Surveillance;Study Design;Scientific Communication,CDC partners;state health departments;NYC Health Department;academic public health,Public Health;Government;Nonprofit;Healthcare,Johns Hopkins University;UC San Francisco;Harvard University;University of Pennsylvania;Duke University,Columbia University;NYU;CUNY Hunter;Weill Cornell,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Exact BLS occupation,,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes191041.htm,Governments and health agencies need epidemiologists to track outbreaks and chronic disease trends.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Public Health Analyst,Health,Public Health,Public Health;Health Science;Data Science;Policy,19-1041,Epidemiologists,54950,81390,103980,90430,Bachelor's degree,Analyzes community health data and programs to support evidence-based public-health decisions.,Data Analysis;Program Evaluation;Public Health Methods;GIS Basics;Writing,city health departments;nonprofit public health orgs;hospital community health teams,Public Health;Government;Nonprofit;Healthcare,Johns Hopkins University;UC San Francisco;Harvard University;University of Pennsylvania;Duke University,Columbia University;NYU;CUNY Hunter;Weill Cornell,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Closest BLS occupation is Epidemiologists (19-1041).,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes191041.htm,Local and national public-health programs rely on analysts to turn surveillance and program data into action.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Environmental Health Specialist,Health,Public Health,Public Health;Environmental Science;Health Science;Environmental Studies / Sustainability,19-2041,"Environmental Scientists and Specialists, Including Health",60920,78980,103420,97130,Bachelor's degree,"Assesses environmental hazards such as air, water, housing, or workplace exposures that affect community health.",Environmental Health;Field Assessment;Regulations;Risk Communication;Data Collection,health departments;EPA partners;nonprofit environmental health groups,Public Health;Government;Environmental Consulting;Nonprofit,Stanford University;UC Berkeley;Yale University;University of Michigan;Colorado State University,Columbia University;CUNY Hunter;NYU,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,"Closest BLS occupation is Environmental Scientists and Specialists, Including Health (19-2041).","U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes192041.htm,Communities need environmental health specialists to reduce exposures that drive preventable illness.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Community Health Program Evaluator,Health,Public Health,Public Health;Health Science;Statistics;Business Analytics,19-1041,Epidemiologists,54950,81390,103980,90430,Bachelor's degree,Measures whether community health interventions improve outcomes and recommends program improvements.,Program Evaluation;Survey Methods;Statistics;Stakeholder Engagement;Reporting,nonprofit health organizations;city agencies;hospital community programs,Public Health;Nonprofit;Government;Healthcare,Johns Hopkins University;UC San Francisco;Harvard University;University of Pennsylvania;Duke University,Columbia University;NYU;CUNY Hunter;Weill Cornell,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Closest BLS occupation is Epidemiologists (19-1041) used as a verified population-health evaluation wage benchmark.,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes191041.htm,Funders and agencies hire program evaluators to show which community health efforts are working.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Genomics Research Scientist,Life Sciences,Genetics / Genomics,Genetics / Genomics;Molecular Biology;Bioinformatics / Computational Biology;Biotechnology,19-1029,"Biological Scientists, All Other",66400,91100,119390,115450,Master's degree,"Investigates genetic variation and genome function to explain traits, disease risk, and biological mechanisms.",Genomics;Sequencing Analysis;Molecular Biology;Statistics;Scientific Writing,Illumina partners;Broad Institute partners;Regeneron;academic genomics centers,Genomics;Biotechnology;Pharmaceuticals;Academic Research,Johns Hopkins University;UC San Francisco;Harvard University;University of Pennsylvania;Duke University,Columbia University;NYU;CUNY Hunter;Weill Cornell,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,"Closest BLS occupation is Biological Scientists, All Other (19-1029).","U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes191029.htm,Genomics centers and biotech firms need research scientists as sequencing and genome interpretation expand.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Clinical Genetics Analyst,Life Sciences,Genetics / Genomics,Genetics / Genomics;Bioinformatics / Computational Biology;Biomedical Science;Health Science,19-1042,"Medical Scientists, Except Epidemiologists",76690,100890,133870,118190,Master's degree,Interprets genetic test data in research or clinical-support settings to help identify clinically relevant variants.,Variant Interpretation;Genomics Databases;Bioinformatics Basics;Medical Genetics Literacy;Documentation,clinical genomics labs;hospital genetics programs;diagnostic companies,Diagnostics;Hospitals;Biotechnology;Medical Research,Johns Hopkins University;UC San Francisco;Harvard University;University of Pennsylvania;Duke University,Columbia University;NYU;CUNY Hunter;Weill Cornell,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,"Closest BLS occupation is Medical Scientists, Except Epidemiologists (19-1042).","U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes191042.htm,Clinical genomics programs need analysts who can carefully interpret genetic findings for medical decision support.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Population Genetics Researcher,Life Sciences,Genetics / Genomics,Genetics / Genomics;Statistics;Bioinformatics / Computational Biology;Public Health,19-1029,"Biological Scientists, All Other",66400,91100,119390,115450,Master's degree,"Studies genetic variation across populations to understand ancestry, evolution, and disease risk patterns.",Population Genetics;Statistics;R;Genomics;Scientific Communication,academic labs;NIH-funded projects;genomics institutes,Academic Research;Public Health Genomics;Biotechnology,Johns Hopkins University;UC San Francisco;Harvard University;University of Pennsylvania;Duke University,Columbia University;NYU;CUNY Hunter;Weill Cornell,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,"Closest BLS occupation is Biological Scientists, All Other (19-1029).","U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes191029.htm,Research institutes hire population genetics researchers as large genetic datasets become available for analysis.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Genome Editing Research Associate,Life Sciences,Genetics / Genomics,Genetics / Genomics;Molecular Biology;Biotechnology;Bioengineering,19-4021,Biological Technicians,42390,51430,65510,57960,Bachelor's degree,"Supports laboratory projects that design, test, and evaluate CRISPR and related genome-editing experiments.",Molecular Cloning;Cell Culture;CRISPR Workflows;Lab Documentation;Assay Support,biotech startups;academic gene-editing labs;pharma research groups,Biotechnology;Pharmaceuticals;Academic Research,Johns Hopkins University;UC San Francisco;Harvard University;University of Pennsylvania;Duke University,Columbia University;NYU;CUNY Hunter;Weill Cornell,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Closest BLS occupation is Biological Technicians (19-4021).,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes194021.htm,Gene-editing research programs need associates who can execute precise molecular workflows day to day.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
